Run,Dataset,Label_Ratio,GMean,Labeling Strategy
1,Ozone,0.5,0.547587842,Non_Uniform
1,Ozone,1,0.474968935,Uniform
1,Ozone,1,0.474968935,Non_Uniform
2,INSECTS incremental_imbalanced,0.05,0.255837528,Uniform
2,INSECTS incremental_imbalanced,0.05,0.250711824,Non_Uniform
2,INSECTS incremental_imbalanced,0.1,0.250226153,Uniform
2,INSECTS incremental_imbalanced,0.1,0.262608305,Non_Uniform
2,INSECTS incremental_imbalanced,0.2,0.205993271,Uniform
2,INSECTS incremental_imbalanced,0.2,0.256454695,Non_Uniform
2,INSECTS incremental_imbalanced,0.5,0.140975782,Uniform
2,INSECTS incremental_imbalanced,0.5,0.357925847,Non_Uniform
2,INSECTS incremental_imbalanced,1,0.397326651,Uniform
2,INSECTS incremental_imbalanced,1,0.397326651,Non_Uniform
2,INSECTS incremental-abrupt_imbalanced,0.05,0.251629667,Uniform
2,INSECTS incremental-abrupt_imbalanced,0.05,0.259696735,Non_Uniform
2,INSECTS incremental-abrupt_imbalanced,0.1,0.246661802,Uniform
2,INSECTS incremental-abrupt_imbalanced,0.1,0.254013209,Non_Uniform
2,INSECTS incremental-abrupt_imbalanced,0.2,0.253076247,Uniform
2,INSECTS incremental-abrupt_imbalanced,0.2,0.270482332,Non_Uniform
2,INSECTS incremental-abrupt_imbalanced,0.5,0.237086753,Uniform
2,INSECTS incremental-abrupt_imbalanced,0.5,0.346305037,Non_Uniform
2,INSECTS incremental-abrupt_imbalanced,1,0.388659324,Uniform
2,INSECTS incremental-abrupt_imbalanced,1,0.388659324,Non_Uniform
2,Keystroke,0.05,0.618715253,Uniform
2,Keystroke,0.05,0.56019863,Non_Uniform
2,Keystroke,0.1,0.692701923,Uniform
2,Keystroke,0.1,0.662288272,Non_Uniform
2,Keystroke,0.2,0.808101158,Uniform
2,Keystroke,0.2,0.795295227,Non_Uniform
2,Keystroke,0.5,0.684794435,Uniform
2,Keystroke,0.5,0.908294157,Non_Uniform
2,Keystroke,1,0.940603409,Uniform
2,Keystroke,1,0.940603409,Non_Uniform
2,NOAA,0.05,0.527218925,Uniform
2,NOAA,0.05,0.546718739,Non_Uniform
2,NOAA,0.1,0.564682885,Uniform
2,NOAA,0.1,0.57007606,Non_Uniform
2,NOAA,0.2,0.564626106,Uniform
2,NOAA,0.2,0.628026454,Non_Uniform
2,NOAA,0.5,0.65697857,Uniform
2,NOAA,0.5,0.668470284,Non_Uniform
2,NOAA,1,0.673206388,Uniform
2,NOAA,1,0.673206388,Non_Uniform
2,Ozone,0.05,0.328552705,Uniform
2,Ozone,0.05,0.436913905,Non_Uniform
2,Ozone,0.1,0.450062062,Uniform
2,Ozone,0.1,0.538759114,Non_Uniform
2,Ozone,0.2,0.483722719,Uniform
2,Ozone,0.2,0.53285796,Non_Uniform
2,Ozone,0.5,0.485630903,Uniform
2,Ozone,0.5,0.452147303,Non_Uniform
2,Ozone,1,0.474968935,Uniform
2,Ozone,1,0.474968935,Non_Uniform
3,INSECTS incremental_imbalanced,0.05,0.256502765,Uniform
3,INSECTS incremental_imbalanced,0.05,0.263803432,Non_Uniform
3,INSECTS incremental_imbalanced,0.1,0.250226153,Uniform
3,INSECTS incremental_imbalanced,0.1,0.250172738,Non_Uniform
3,INSECTS incremental_imbalanced,0.2,0.205993271,Uniform
3,INSECTS incremental_imbalanced,0.2,0.271816336,Non_Uniform
3,INSECTS incremental_imbalanced,0.5,0.140975782,Uniform
3,INSECTS incremental_imbalanced,0.5,0.341307186,Non_Uniform
3,INSECTS incremental_imbalanced,1,0.397326651,Uniform
3,INSECTS incremental_imbalanced,1,0.397326651,Non_Uniform
3,INSECTS incremental-abrupt_imbalanced,0.05,0.256395692,Uniform
3,INSECTS incremental-abrupt_imbalanced,0.05,0.238655601,Non_Uniform
3,INSECTS incremental-abrupt_imbalanced,0.1,0.236515795,Uniform
3,INSECTS incremental-abrupt_imbalanced,0.1,0.259009632,Non_Uniform
3,INSECTS incremental-abrupt_imbalanced,0.2,0.253076247,Uniform
3,INSECTS incremental-abrupt_imbalanced,0.2,0.269915542,Non_Uniform
3,INSECTS incremental-abrupt_imbalanced,0.5,0.237086753,Uniform
3,INSECTS incremental-abrupt_imbalanced,0.5,0.343015586,Non_Uniform
3,INSECTS incremental-abrupt_imbalanced,1,0.388659324,Uniform
3,INSECTS incremental-abrupt_imbalanced,1,0.388659324,Non_Uniform
3,Keystroke,0.05,0.564406712,Uniform
3,Keystroke,0.05,0.588161238,Non_Uniform
3,Keystroke,0.1,0.660722537,Uniform
3,Keystroke,0.1,0.653080835,Non_Uniform
3,Keystroke,0.2,0.759429881,Uniform
3,Keystroke,0.2,0.812379834,Non_Uniform
3,Keystroke,0.5,0.684794435,Uniform
3,Keystroke,0.5,0.934939509,Non_Uniform
3,Keystroke,1,0.940603409,Uniform
3,Keystroke,1,0.940603409,Non_Uniform
3,NOAA,0.05,0.527218925,Uniform
3,NOAA,0.05,0.52303643,Non_Uniform
3,NOAA,0.1,0.568087838,Uniform
3,NOAA,0.1,0.572187814,Non_Uniform
3,NOAA,0.2,0.576154674,Uniform
3,NOAA,0.2,0.61928563,Non_Uniform
3,NOAA,0.5,0.65697857,Uniform
3,NOAA,0.5,0.66363688,Non_Uniform
3,NOAA,1,0.673206388,Uniform
3,NOAA,1,0.673206388,Non_Uniform
3,Ozone,0.05,0.386896732,Uniform
3,Ozone,0.05,0.482077607,Non_Uniform
3,Ozone,0.1,0.450062062,Uniform
3,Ozone,0.1,0.49049782,Non_Uniform
3,Ozone,0.2,0.530672797,Uniform
3,Ozone,0.2,0.487955694,Non_Uniform
3,Ozone,0.5,0.521537607,Uniform
3,Ozone,0.5,0.524881541,Non_Uniform
3,Ozone,1,0.474968935,Uniform
3,Ozone,1,0.474968935,Non_Uniform
4,INSECTS incremental_imbalanced,0.05,0.257925235,Uniform
4,INSECTS incremental_imbalanced,0.05,0.241839066,Non_Uniform
4,INSECTS incremental_imbalanced,0.1,0.248115518,Uniform
4,INSECTS incremental_imbalanced,0.1,0.262404183,Non_Uniform
4,INSECTS incremental_imbalanced,0.2,0.205993271,Uniform
4,INSECTS incremental_imbalanced,0.2,0.268948173,Non_Uniform
4,INSECTS incremental_imbalanced,0.5,0.140975782,Uniform
4,INSECTS incremental_imbalanced,0.5,0.35389686,Non_Uniform
4,INSECTS incremental_imbalanced,1,0.397326651,Uniform
4,INSECTS incremental_imbalanced,1,0.397326651,Non_Uniform
4,INSECTS incremental-abrupt_imbalanced,0.05,0.253621112,Uniform
4,INSECTS incremental-abrupt_imbalanced,0.05,0.251877583,Non_Uniform
4,INSECTS incremental-abrupt_imbalanced,0.1,0.255928533,Uniform
4,INSECTS incremental-abrupt_imbalanced,0.1,0.261035944,Non_Uniform
4,INSECTS incremental-abrupt_imbalanced,0.2,0.253076247,Uniform
