Run,Dataset,LR_5,LR_10,LR_20,LR_50,LR_100
13,INSECTS incremental-abrupt_imbalanced,0.255361849,0.258921829,0.245814772,0.237086753,0.388659324
13,INSECTS incremental_imbalanced,0.235156016,0.255011261,0.202891199,0.140975782,0.397326651
13,Keystroke,0.549737125,0.669397273,0.759429881,0.684794435,0.940603409
13,NOAA,0.537464699,0.562893313,0.576886398,0.65697857,0.673206388
13,Ozone,0.481380222,0.444960184,0.526925722,0.521537607,0.474968935
14,INSECTS incremental-abrupt_imbalanced,0.256395692,0.246993937,0.244025048,0.237086753,0.388659324
14,INSECTS incremental_imbalanced,0.237393893,0.255011261,0.198063957,0.140975782,0.397326651
14,Keystroke,0.618715253,0.669397273,0.74264432,0.684794435,0.940603409
14,NOAA,0.555939853,0.598205873,0.576886398,0.65697857,0.673206388
14,Ozone,0.474030474,0.444960184,0.483722719,0.485630903,0.474968935
15,INSECTS incremental-abrupt_imbalanced,0.256395692,0.252093362,0.245814772,0.237086753,0.388659324
15,INSECTS incremental_imbalanced,0.257925235,0.253359944,0.198063957,0.140975782,0.397326651
15,Keystroke,0.618715253,0.669397273,0.74264432,0.684794435,0.940603409
15,NOAA,0.54276091,0.568087838,0.576886398,0.664807861,0.673206388
15,Ozone,0.460799995,0.412111128,0.526925722,0.485630903,0.474968935
16,INSECTS incremental-abrupt_imbalanced,0.245081382,0.252093362,0.245814772,0.237086753,0.388659324
16,INSECTS incremental_imbalanced,0.23777554,0.243818076,0.205993271,0.140975782,0.397326651
16,Keystroke,0.595635683,0.703439806,0.759429881,0.684794435,0.940603409
16,NOAA,0.527224883,0.598205873,0.574929936,0.664807861,0.673206388
16,Ozone,0.29514409,0.500547761,0.530672797,0.485630903,0.474968935
17,INSECTS incremental-abrupt_imbalanced,0.246213318,0.252093362,0.242342842,0.237086753,0.388659324
17,INSECTS incremental_imbalanced,0.251619946,0.247064631,0.198063957,0.140975782,0.397326651
17,Keystroke,0.564406712,0.677857726,0.74264432,0.684794435,0.940603409
17,NOAA,0.525269049,0.566181584,0.564626106,0.664807861,0.673206388
17,Ozone,0.481380222,0.444960184,0.483722719,0.521537607,0.474968935
18,INSECTS incremental-abrupt_imbalanced,0.253621112,0.255928533,0.244025048,0.237086753,0.388659324
18,INSECTS incremental_imbalanced,0.256502765,0.242432147,0.202891199,0.140975782,0.397326651
18,Keystroke,0.595635683,0.631897724,0.74264432,0.684794435,0.940603409
18,NOAA,0.555939853,0.56867797,0.574929936,0.65697857,0.673206388
18,Ozone,0.29514409,0.544095336,0.529621612,0.521537607,0.474968935
19,INSECTS incremental-abrupt_imbalanced,0.236757348,0.261829691,0.253076247,0.237086753,0.388659324
19,INSECTS incremental_imbalanced,0.23777554,0.250226153,0.201822281,0.140975782,0.397326651
19,Keystroke,0.58616408,0.703439806,0.794458979,0.684794435,0.940603409
19,NOAA,0.530457004,0.566181584,0.576154674,0.65697857,0.673206388
19,Ozone,0.474030474,0.500547761,0.530672797,0.521537607,0.474968935
20,INSECTS incremental-abrupt_imbalanced,0.238917833,0.246993937,0.253076247,0.237086753,0.388659324
20,INSECTS incremental_imbalanced,0.265674324,0.247064631,0.201822281,0.140975782,0.397326651
20,Keystroke,0.618715253,0.669397273,0.759429881,0.684794435,0.940603409
20,NOAA,0.525271946,0.555774044,0.564626106,0.664807861,0.673206388
20,Ozone,0.476337205,0.412111128,0.483722719,0.521537607,0.474968935
21,INSECTS incremental-abrupt_imbalanced,0.255356554,0.251056904,0.245814772,0.237086753,0.388659324
21,INSECTS incremental_imbalanced,0.246452142,0.255011261,0.202891199,0.140975782,0.397326651
21,Keystroke,0.518591906,0.677857726,0.808101158,0.684794435,0.940603409
21,NOAA,0.527224883,0.563756652,0.564626106,0.664807861,0.673206388
21,Ozone,0.328552705,0.544095336,0.526925722,0.521537607,0.474968935
22,INSECTS incremental-abrupt_imbalanced,0.245969896,0.253502868,0.253076247,0.237086753,0.388659324
22,INSECTS incremental_imbalanced,0.247127461,0.233883403,0.201822281,0.140975782,0.397326651
22,Keystroke,0.561292712,0.660722537,0.759429881,0.684794435,0.940603409
22,NOAA,0.54276091,0.566683737,0.574929936,0.664807861,0.673206388
22,Ozone,0.398216804,0.544095336,0.483722719,0.521537607,0.474968935
23,INSECTS incremental-abrupt_imbalanced,0.263494076,0.256377587,0.253076247,0.237086753,0.388659324
23,INSECTS incremental_imbalanced,0.256502765,0.253359944,0.201822281,0.140975782,0.397326651
23,Keystroke,0.551070136,0.703439806,0.74264432,0.684794435,0.940603409
23,NOAA,0.527224883,0.563756652,0.576886398,0.65697857,0.673206388
23,Ozone,0.386896732,0.500547761,0.530672797,0.521537607,0.474968935
24,INSECTS incremental-abrupt_imbalanced,0.258644941,0.256377587,0.245814772,0.237086753,0.388659324
24,INSECTS incremental_imbalanced,0.23777554,0.251153796,0.202891199,0.140975782,0.397326651
24,Keystroke,0.618715253,0.67448349,0.759429881,0.684794435,0.940603409
